GameID,RentalDate,ReturnDate,RentedCustomerID
witcher01,2023-11-22,2023-12-06,coai
tlou02,2023-11-30,2023-12-14,abcd
halo01,2023-11-17,2023-12-01,efgh
gtav01,2023-11-12,2023-11-26,ijkl
madden01,2023-11-25,2023-12-09,mnop
fifa01,2023-11-14,2023-11-28,zrpy
zelda01,2023-12-04,2023-12-12,tqew
ffxv02,2023-12-27,2024-01-10,wxyz
ffxv01,2023-12-03,2023-12-17,wxyz
gtav01,2023-11-27,2023-12-11,qrst
zelda01,2023-12-28,2024-01-11,mnop
tlou01,2023-12-28,2024-01-11,efgh
witcher01,2023-12-22,2024-01-05,efgh
mario02,2023-12-01,2023-12-15,ijkl
gtav02,2023-12-01,2023-12-15,wxyz
gtav01,2023-12-27,2024-01-10,abcd
fifa02,2023-12-21,2024-01-04,ijkl
mario01,2024-01-06,2024-01-20,cixy
ffxv01,2023-12-18,2024-01-01,nsmd
mario01,2023-12-07,2023-12-21,cixy
gtav02,2023-12-31,2024-01-14,mnop
spiderman02,2024-01-08,2024-01-22,wxyz
zelda02,2023-11-30,2023-12-14,mnop
halo01,2023-11-17,2023-12-01,ijkl
tlou01,2023-11-28,2023-12-12,ijkl
witcher01,2024-01-06,2024-01-20,ijkl
spiderman01,2023-12-13,2023-12-27,mnop
tlou02,2024-01-14,2024-01-28,wxyz
spiderman01,2023-12-13,2023-12-27,bhfk
ffxv02,2023-12-24,2024-01-07,htlo
madden02,2024-01-10,2024-01-24,ijkl
fifa01,2023-12-14,2023-12-28,efgh
tlou02,2023-12-15,2023-12-29,ijkl
halo02,2024-01-12,2024-01-26,ijkl
witcher02,2023-12-29,2024-01-12,vbcz
madden01,2024-01-09,2024-01-23,mnop
spiderman02,2023-12-09,2023-12-23,pkbd
madden02,2023-12-11,2023-12-25,wxyz
gow01,2023-12-08,2023-12-22,ijor
fifa01,2023-11-29,2023-12-13,zrpy
ffxv02,2024-01-08,2024-01-22,htlo
halo02,2023-12-28,2024-01-11,ogkz
zelda01,2023-12-13,2023-12-27,tqew
tlou02,2023-11-30,2023-12-14,abcd
cod02,2024-01-14,2024-01-28,lsbz
gtav02,2023-11-16,2023-11-30,dyxq
madden01,2023-11-25,2023-12-09,mnop
gow02,2023-12-03,2023-12-12,bmlr
mario02,2023-12-16,2023-11-30,qksr
halo02,2023-12-13,2023-12-27,ogkz
fifa02,2024-01-05,2024-01-19,mnop
cod03,2023-12-07,2023-12-21,oxzv
witcher02,2024-01-13,2024-01-27,vbcz
zelda02,2023-12-30,2024-01-14,efgh
mario03,2023-12-05,2023-12-12,piqw
mario01,2023-11-16,2023-11-30,qksr
spiderman02,2023-12-24,2024-01-07,pkbd
cod01,2023-12-26,2024-01-09,xfna
uncharted01,2023-11-10,2023-11-24,wqgb
madden01,2023-12-12,2023-12-12,zrpy
cod01,2023-11-26,2023-12-10,xfna
mario02,2023-11-16,2023-11-30,qksr
gtav01,2023-11-12,2023-11-26,ijkl
tlou02,2023-12-30,2024-01-13,abcd
madden02,2023-11-26,2023-12-10,ljfc
zelda02,2023-11-15,2023-11-29,rnpi
gtav02,2023-12-26,2024-01-09,dyxq
madden01,2023-11-25,2023-12-09,mnop
tlou02,2023-12-15,2023-12-29,abcd
mario01,2023-11-22,2023-12-06,cixy
madden01,2023-12-25,2024-01-08,qrst
ffxv02,2023-11-27,2023-12-11,htlo
halo01,2023-12-17,2023-12-31,qrst
cod03,2023-12-12, 2023-12-26,rnpi
spiderman01,2023-11-28,2023-12-12,ijkl
fifa02,2023-12-21,2024-01-04,ijkl
zelda02,2023-12-31,2024-01-14,efgh
mario03,2023-12-05,2023-12-12,piqw
tlou02,2023-12-30,2024-01-13,abcd
halo02,2024-01-12,2024-01-26,ijkl
mario02,2023-11-16,2023-11-30,qksr
gtav01,2023-11-12,2023-11-26,ijkl
tlou02,2023-12-30,2024-01-13,abcd
madden02,2023-11-26,2023-12-10,ljfc
zelda02,2023-11-15,2023-11-29,rnpi
gtav02,2023-12-26,2024-01-09,dyxq
madden01,2023-11-25,2023-12-09,mnop
tlou02,2023-12-15,2023-12-29,abcd
mario01,2023-11-22,2023-12-06,cixy
madden01,2023-12-25,2024-01-08,qrst
ffxv02,2023-11-27,2023-12-11,htlo
halo01,2023-12-17,2023-12-31,qrst
spiderman01,2023-11-28,2023-12-12,ijkl
fifa02,2023-12-21,2024-01-04,ijkl
zelda02,2023-12-31,2024-01-14,efgh
mario03,2023-12-05,2023-12-12,piqw
tlou02,2023-12-30, ,abcd
halo02,2024-01-12, ,ijkl
tlou01,2023-11-13, ,efgh
