CustomerID,SubscriptionType,StartDate,EndDate
coai,Basic,2023-01-01,2023-12-31
abcd,Premium,2023-02-01,2023-12-31
efgh,Basic,2023-03-01,2023-12-31
ijkl,Premium,2023-04-01,2023-12-31
mnop,Basic,2023-05-01,2023-12-31
zrpy,Basic,2023-01-01,2023-12-31
tqew,Premium,2023-02-01,2023-12-31
bhfk,Basic,2023-03-01,2023-12-31
nsmd,Premium,2023-04-01,2023-12-31
ijor,Basic,2023-05-01,2023-12-31
vbcz,Premium,2023-06-01,2023-12-31
ewxq,Basic,2023-07-01,2023-11-30
ljfc,Premium,2023-08-01,2023-12-31
maqo,Basic,2023-09-01,2023-12-31
pkbd,Premium,2023-10-01,2023-12-31
rnpi,Basic,2023-11-01,2023-12-31
ogkz,Premium,2023-12-01,2023-12-31
dyxq,Basic,2023-01-01,2024-12-31
htlo,Premium,2023-02-01,2024-12-31
wqgb,Basic,2023-03-01,2024-12-31
xfna,Premium,2023-04-01,2024-12-31
lsbz,Basic,2023-05-01,2024-12-31
cixy,Premium,2023-06-01,2024-12-31
qksr,Basic,2023-07-01,2024-12-31
tdnv,Premium,2023-08-01,2024-12-31
bmlr,Basic,2023-09-01,2024-12-31
piqw,Premium,2023-10-01,2024-12-31
oxzv,Basic,2023-11-01,2024-12-31
